iter	Passed	Remaining
871	57722	8472
872	57789	8406
873	57858	8341
874	57920	8274
875	57990	8208
876	58056	8142
877	58115	8075
878	58179	8008
879	58239	7941
880	58298	7874
881	58357	7807
882	58415	7740
883	58478	7673
884	58548	7608
885	58618	7542
886	58682	7475
887	58743	7409
888	58800	7341
889	58853	7274
890	58920	7208
891	58985	7141
892	59054	7075
893	59110	7008
894	59175	6942
895	59234	6875
896	59288	6807
897	59356	6742
898	59406	6674
899	59459	6606
900	59518	6539
901	59580	6473
902	59633	6405
903	59697	6339
904	59757	6272
905	59826	6207
906	59884	6140
907	59945	6073
908	60015	6008
909	60066	5940
910	60128	5874
911	60191	5807
912	60263	5742
913	60335	5677
914	60398	5610
915	60468	5545
916	60533	5479
917	60588	5412
918	60656	5346
919	60714	5279
920	60786	5214
921	60843	5147
922	60906	5081
923	60984	5016
924	61042	4949
925	61107	4883
926	61166	4816
927	61222	4750
928	61276	4683
929	61344	4617
930	61403	4550
931	61468	4484
932	61519	4417
933	61575	4351
934	61629	4284
935	61695	4218
936	61762	4152
937	61820	4086
938	61878	4019
939	61946	3954
940	62005	3887
941	62082	3822
942	62149	3756
943	62207	3690
944	62281	3624
945	62333	3558
946	62401	3492
947	62460	3426
948	62522	3360
949	62582	3293
950	62645	3227
951	62700	3161
952	62759	3095
953	62809	3028
954	62870	2962
955	62931	2896
956	63002	2830
957	63068	2765
958	63125	2698
959	63182	2632
960	63232	2566
961	63289	2499
962	63349	2433
963	63402	2367
964	63471	2302
965	63546	2236
966	63608	2170
967	63687	2105
968	63754	2039
969	63807	1973
970	63864	1907
971	63929	1841
972	63981	1775
973	64042	1709
974	64119	1644
975	64184	1578
976	64240	1512
977	64299	1446
978	64352	1380
979	64414	1314
980	64486	1248
981	64543	1183
982	64593	1117
983	64649	1051
984	64711	985
985	64769	919
986	64836	853
987	64899	788
988	64972	722
989	65039	656
990	65094	591
991	65160	525
992	65227	459
993	65292	394
994	65369	328
995	65434	262
996	65501	197
997	65557	131
998	65624	65
999	65688	0
